Dimension: array length (n),Time (clock)
1520,102.190000
1521,102.230000
1522,102.220000
1523,102.310000
1524,102.410000
1525,102.600000
1526,102.580000
1527,102.530000
1528,102.670000
1529,102.410000
1530,101.070000
1531,100.410000
1532,100.460000
1533,100.420000
1534,100.610000
1535,100.740000
1536,100.720000
1537,100.750000
1538,102.680000
1539,103.250000
1540,103.540000
1541,103.510000
1542,103.700000
1543,103.850000
1544,103.980000
1545,104.060000
1546,103.920000
1547,104.160000
1548,104.090000
1549,104.330000
1550,105.030000
1551,102.870000
1552,102.110000
1553,102.630000
1554,102.810000
1555,102.700000
1556,102.850000
1557,105.060000
1558,104.830000
1559,105.440000
1560,105.230000
1561,105.560000
1562,105.420000
1563,105.670000
1564,105.630000
1565,105.940000
1566,105.970000
1567,106.020000
1568,106.240000
1569,106.210000
1570,106.280000
1571,106.150000
1572,103.940000
1573,104.270000
1574,103.850000
1575,103.930000
1576,104.410000
1577,104.120000
1578,104.300000
1579,104.110000
1580,105.480000
1581,106.840000
1582,107.120000
1583,107.160000
1584,107.130000
1585,107.200000
1586,107.160000
1587,107.370000
1588,107.630000
1589,107.490000
1590,107.580000
1591,107.840000
1592,107.450000
1593,105.350000
1594,105.610000
1595,105.460000
1596,105.650000
1597,107.140000
1598,105.710000
1599,105.470000
1600,107.430000
1601,108.050000
1602,108.490000
1603,108.590000
1604,108.660000
1605,108.410000
1606,108.830000
1607,108.680000
1608,109.030000
1609,109.110000
1610,109.090000
1611,109.210000
1612,108.900000
1613,106.720000
1614,106.850000
1615,107.030000
1616,106.780000
1617,107.210000
1618,107.630000
1619,107.780000
1620,107.830000
1621,110.080000
1622,110.250000
1623,110.230000
1624,110.570000
1625,110.500000
1626,110.450000
1627,110.530000
1628,110.770000
1629,110.790000
1630,111.010000
1631,110.820000
1632,110.120000
1633,108.770000
1634,109.140000
1635,110.670000
1636,110.610000
1637,109.520000
1638,108.850000
1639,109.640000
1640,111.710000
1641,111.720000
1642,111.710000
1643,111.580000
1644,111.840000
1645,112.060000
1646,112.000000
1647,113.030000
1648,112.120000
1649,112.440000
1650,112.210000
1651,111.610000
1652,109.840000
1653,109.900000
1654,109.950000
1655,109.950000
1656,110.040000
1657,110.170000
1658,110.270000
1659,111.820000
1660,113.080000
1661,112.940000
1662,113.130000
1663,113.140000
1664,114.550000
1665,113.510000
1666,113.580000
1667,113.630000
1668,113.590000
1669,113.880000
1670,113.820000
1671,113.800000
1672,114.260000
1673,114.340000
1674,114.180000
1675,112.760000
1676,112.570000
1677,112.240000
1678,112.570000
1679,112.470000
1680,112.350000
1681,112.830000
1682,113.820000
1683,115.170000
1684,115.530000
1685,115.430000
1686,115.760000
1687,115.820000
1688,115.530000
1689,115.710000
1690,115.830000
1691,115.160000
1692,115.360000
1693,115.460000
1694,113.220000
1695,112.940000
1696,112.880000
1697,113.010000
1698,112.770000
1699,113.280000
1700,113.070000
1701,112.970000
1702,115.640000
1703,116.160000
1704,115.900000
1705,116.340000
1706,116.410000
1707,116.140000
1708,116.100000
1709,116.500000
1710,117.160000
1711,117.840000
1712,116.590000
1713,116.730000
1714,116.870000
1715,115.650000
1716,114.860000
1717,114.580000
1718,114.410000
1719,114.370000
1720,114.410000
1721,115.890000
1722,114.500000
1723,116.730000
1724,117.450000
1725,117.560000
1726,117.450000
1727,117.610000
1728,117.670000
1729,117.720000
1730,118.300000
1731,118.730000
1732,117.860000
1733,117.900000
1734,118.150000
1735,117.960000
1736,118.440000
1737,117.300000
1738,115.930000
1739,115.950000
1740,116.270000
1741,115.700000
1742,115.880000
1743,117.220000
